Symbol	Description
ABI	AB INBEV
ABLX	ABLYNX (D)
ACKB	ACKERMANS V.HAAREN
AED	AEDIFICA
AGFB	AGFA-GEVAERT
ASC	ASCENCIO (D)
ATEB	ATENOR GROUP (D)
AUDB	AUDERGHEM CERT
BANI	BANIMMO A (D)
BAR	BARCO
BEFB	BEFIMMO-SICAFI
BEKB	BEKAERT (D)
BELG	BELGACOM
BIL	RENTABILIWEB (D)
BNB	BQUE NAT. BELGIQUE
BOMB	BOMBARDIER CERT B
BREB	BREDERODE
CAMB	CAMPINE
CFEB	CFE (D)
CIM	CIMESCAUT
CMB	CMB
COFB	COFINIMMO-SICAFI
COLR	COLRUYT (D)
COMB	CIE BOIS SAUVAGE
CONN	CONNECT GROUP
CVX	CHEVRON CERT
DECB	DECEUNINCK
DEXB	DEXIA
DIE	D'IETEREN (D)
DIEG	DIEGEM KENNEDYCERT
DRD	DRDGOLD CERT.BELG.
ECONB	ECONOCOM GROUP
ENIN	4ENERGY INV (D)
EURN	EURONAV
EVS	EVS BROADC.EQUIPM.
EXM	EXMAR
FLOB	FLORIDIENNE
FLUX	FLUXYS CAT.D
FOY	FOYER
GIMB	GIMV
GLOG	GLOBAL GRAPHICS
GLPG	GALAPAGOS
GT	GOODYEAR CERT
HENX	HENEX
HMY	HARMONY CERT
IMMO	IMMOBEL
IMMOU	IMMO MOURY (D)
IMO	IMPERIAL OIL
INGS	ING GROEP CERT
INTO	INTERVEST OFFICES
JEN	JENSEN-GROUP
KBC	KBC
KBCA	KBC ANCORA
KEYW	KEYWARE TECH. (D)
KIN	KINEPOLIS GROUP
KOR	KORTRIJK SHOP.CERT
LEAS	LEASINVEST-SICAFI
LOTB	LOTUS BAKERIES
MDXH	MDXHEALTH
MELE	MELEXIS (D)
MIKO	MIKO
MOBB	MOBISTAR
MONT	MONTEA C.V.A.
NESTS	NESTLE (D)
NEWT	NEWTREE (D)
NYR	NYRSTAR (D)
OIM	OIM
OPTI	OPTION (D)
PARD	PAIRI DAIZA
PIC	PICANOL
PIN	PINGUINLUTOSA
PUN	PUNCH INT.
QFG	QUESTFOR GR-PRICAF
RCUS	ARSEUS (D)
REC	RECTICEL
RES	RESILUX
RET	RETAIL EST.-SICAFI
RHJI	RHJ INTERNATIONAL
RIOS	RIO TINTO CERT
ROU	ROULARTA
RTL	RTL GROUP
SAB	SABCA (D)
SAP	SAPEC
SIOE	SIOEN
SIP	SIPEF (D)
SOF	SOFINA
SOFT	SOFTIMAT
SOLB	SOLVAY
SOLV	SOLVAC NOM(RETAIL)
SPA	SPADEL
TERB	TER BEKE
TESB	TESSENDERLO
TEXF	TEXAF
THEB	THENERGO (D)
THR	THROMBOGENICS
TIG	TIGENIX (D)
TNET	TELENET GROUP
TRAN	TRANSICS INT.
TUB	TUBIZE-FIN
UCB	UCB
UMI	UMICORE (D)
VAN	VAN DE VELDE
VGP	VGP
VLV	VOLVO B (D)
WDP	WDP-SICAFI
WEB	WAREHOUSES-SICAFI
WEHB	WERELDHAV B-SICAFI
ZENT	ZENITEL
ZTS	ZETES INDUSTRIES
