Symbol	Description
ALTR	ALTRI SGPS
BCP	B.COM.PORTUGUES
BES	B.ESPIRITO SANTO
BPE	BANCO POP.ESPANOL
BPI	BANCO BPI
CFN	COFINA,SGPS
COR	CORTICEIRA AMORIM
CPN	CIPAN
CPR	CIMPOR,SGPS
EDP	EDP
EDPR	EDP RENOVAVEIS
EGL	MOTA ENGIL
ESF	E.SANTO FINANCIAL
FCP	FUT.CLUBE PORTO
GALP	GALP ENERGIA-NOM
GLINT	GLINTT
IBS	IBERSOL,SGPS
INA	INAPA-INV.P.GESTAO
IPR	IMPRESA,SGPS
JMT	J.MARTINS,SGPS
LIG	LISGRAFICA
MAR	MARTIFER
NBA	NOVABASE,SGPS
PTC	P.TELECOM
PTI	PORTUCEL
RAM	F.RAMA
RENE	REN
SCOAE	S.COSTA
SEM	SEMAPA
SLBEN	BENFICA
SNC	SONAECOM,SGPS
SON	SONAE
SONC	SONAE CAPITAL
SONI	SONAE IND.SGPS
SUCO	SUMOL COMPAL
SVA	SAG GEST
TDSA	TEIXEIRA DUARTE
VAFK	VAA-V.ALEGRE-FUSAO
ZON	ZON MULTIMEDIA
