Symbol	Description
3LLS	N708100s 150701
3UHS	N509100n 141001
3UIS	Nx09100w 190601
3UJS	Ny09100h 240901
500	Tai Sin Electric Limited
502	Hsr Global Limited
504	Klw Holdings Ltd
505	Asiamedic Limited
508	Fuji Offset Plates Mfg Ltd
510	Hiap Seng Engineering Ltd
519	Top Global Limited
526	Hg Metal Manufacturing Ltd
528	Second Chance Properties Ltd
529	Food Junction Holdings Limited
530	China Titanium Ltd.
532	Equation Corp Limited
533	Abr Holdings Limited
535	Vibropower Corporation Limited
536	Goldtron Limited
538	Asj Holdings Ltd
539	Cph Ltd
540	Tung Lok Restaurants 2000 Ltd
541	Craft Print International Ltd
542	Giken Sakata (s) Limited
543	Noel Gifts International Ltd
544	Cse Global Ltd
545	Vallianz Holdings Limited
546	Medtecs International Corp Ltd
547	Nobel Design Holdings Ltd
550	Elite Ksb Holdings Limited
552	Qian Hu Corporation Limited
554	King Wan Corporation Limited
557	Viking Offshore And Marine Ltd
558	Ums Holdings Limited
560	Aztech Group Ltd.
561	Teckwah Industrial Corp Ltd
564	Spindex Industries Limited
566	See Hup Seng Limited
567	Colex Holdings Limited
568	Baker Technology Limited
569	Vicplas International Ltd
570	Transit-mixed Concrete Ltd
571	International Press Softcom
573	Challenger Technologies Ltd
574	Tsh Corporation Limited
575	Asti Holdings Limited
576	Magnus Energy Group Ltd.
578	Ks Energy Limited
579	Oceanus Group Limited
580	Santak Holdings Limited
581	Ite Electric Co Ltd
583	Progen Holdings Ltd
584	Oakwell Engineering Limited
585	Asian Micro Holdings Ltd
586	Tmc Education Corporation Ltd
587	Lereno Bio-chem Ltd.
588	Health Management Intl Ltd
591	Innovalues Limited
593	Lee Metal Group Ltd
594	Loyz Energy Limited
595	Van Der Horst Energy Limited
596	Thai Village Holdings Ltd
5AB	Trek 2000 Int'l Ltd
5AC	Nh Ceramics Ltd
5AE	Pollux Properties Ltd.
5AI	Sunlight Group Hldg Ltd
5AL	Annica Holdings Limited
5AM	Asiatravel.com Holdings Ltd
5AU	Ap Oil International Limited
5BA	Vashion Group Ltd.
5BI	Carriernet Global Ltd
5BK	Koda Ltd
5BM	Mfs Technology Ltd
5BS	Pne Micron Holdings Ltd
5CB	Darco Water Technologies Ltd
5CE	Singxpress Land Ltd.
5CF	Okp Holdings Limited
5CH	Dmx Technologies Group Ltd
5CJ	Chinese Global Investors Grp
5CN	Sinwa Limited
5CP	Silverlake Axis Ltd
5CQ	Technics Oil & Gas Limited
5CR	Asiatic Group (holdings) Ltd
5CS	Infinio Group Limited
5CT	Ecowise Holdings Limited
5DA	Breadtalk Group Limited
5DD	Micro-mechanics (holdings) Ltd
5DE	Ems Energy Limited
5DL	Koon Holdings Limited
5DM	Ying Li Intl Real Estate Ltd
5DN	Ezra Holdings Limited
5DO	Sakae Holdings Ltd.
5DP	Heeton Holdings Limited
5DS	Megachem Limited
5DT	Bright Orient (holding) Ltd.
5DW	Renewable Energy Asia Grp Ltd
5DX	Metal Component Engg Ltd
5EB	Cfm Holdings Limited
5EC	Asiasons Wfg Financial Ltd.
5EF	Adventus Holdings Limited
5EG	New Lakeside Holdings Limited
5EK	Armarda Group Limited
5EL	Lasseters Intl Holdings Ltd
5EN	Midas Hldgs Limited
5ER	Best World International Ltd
5ET	Asiasons Capital Limited
5EV	Hosen Group Ltd
5EW	Pan Asian Holdings Limited
5FA	Jep Holdings Ltd.
5FD	Swissco Holdings Limited
5FF	Medi-flex Limited
5FH	Advance Sct Limited
5FI	Oriental Food (holdings) Ltd.
5FL	Falcon Energy Group Limited
5FQ	Select Group Limited
5FR	Etika International Hldgs Ltd
5FU	Hartawan Hldgs Ltd
5FW	Linair Technologies Limited
5FX	New Wave Holdings Ltd.
5GB	Asia Water Technology Ltd.
5GC	Cna Group Ltd.
5GD	Sunpower Group Ltd.
5GF	Nico Steel Holdings Limited
5GI	Interra Resources Limited
5GJ	Ausgroup Limited
5GZ	Aa Group Holdings Ltd.
5HC	Ntegrator International Ltd
5HG	Oniontech Limited
5HH	Hln Technologies Limited
5HJ	Cityneon Holdings Limited
5HT	Communication Design Intl Ltd
5HV	Metax Engineering Corp Limited
5HW	Scorpio East Holdings Ltd.
5IA	Advanced Holdings Ltd.
5IB	Albedo Limited
5IC	Sing Holdings Limited
5IE	Lorenzo International Limited
5IF	Natural Cool Holdings Limited
5IG	Gallant Venture Ltd.
5IM	Gmg Global Ltd
5JK	Hiap Hoe Limited
5JS	Indofood Agri Resources Ltd.
5KH	Travelite Holdings Ltd.
5KI	Soup Restaurant Group Limited
5KK	China Yongsheng Limited
5KT	Fujian Zhenyun Plas Ind Co Ltd
5KU	Eastern Holdings Ltd
5LE	Sitra Holdings (intl) Limited
5LY	Marco Polo Marine Ltd.
5MC	Beng Kuang Marine Limited
5MD	Soon Lian Holdings Limited
5ME	Ezion Holdings Limited
5ML	Old Chang Kee Ltd.
5MM	Sky One Holdings Limited
5MQ	Epicentre Holdings Limited
5MS	Memstar Technology Ltd.
5MZ	Kingsmen Creatives Ltd
5NF	Mencast Holdings Ltd.
5NG	Healthway Medical Corp Ltd
5NH	St. James Holdings Limited
5NK	Artivision Technologies Ltd.
5NL	Tritech Group Limited
5NV	Chasen Holdings Limited
5OC	Koyo International Limited
5OF	Westminster Travel Limited
5OI	Japan Foods Holding Ltd.
5OQ	Teho International Inc Ltd.
5OR	Heatec Jietong Holdings Ltd.
5OS	Jlj Holdings Limited
5OT	Singapore Medical Group Ltd
5OU	China Environment Ltd.
5OX	Mary Chia Holdings Limited
5OY	Latitude Tree Intl Group Ltd.
5PC	Goodland Group Limited
5PD	Hengyang Petrochem Log Limited
5PF	Jason Marine Group Limited
5PI	Plato Capital Limited
5PL	Sbi Offshore Limited
5PO	Hiap Tong Corporation Ltd.
5QQW	Chasen Holdings W150506
5QR	Mann Seng Metal Intl Limited
5QSW	Lereno Bio-chem Ltd W150430
5QT	China Enersave Ltd
5QY	Net Pacific Fin Hldgs Ltd
5QZ	Ccm Group Limited
5RA	Asia-pacific Strategic Inv Ltd
5RBW	Asia-pacific Strategic W140516
5RC	Es Group (holdings) Limited
5RE	Smartflex Holdings Ltd
5RF	Friven & Co. Ltd.
5RHW	Net Pacific Fin Hldgs W150721
5RJ	We Holdings Ltd.
5RK	Kreuz Holdings Limited
5RTW	Old Chang Kee W130906
5RWW	Top Global Limited W150929
5SGW	Ntegrator Intl Ltd W131206
5SO	Duty Free Internationallimited
5SR	Zhongmin Baihui Retail Grp Ltd
5SUW	Duty Free Intl Ltd W160106
5SXW	Goodland Group Limited W160217
5SY	Chew's Group Limited
5TF	Junma Tyre Cord Company Ltd
5TG	800 Super Holdings Limited
5TH	Malacca Trust Limited
5TI	Kitchen Culture Holdings Ltd.
5TJ	Far East Group Limited
5TN	Iev Holdings Limited
5TP	Cnmc Goldmine Holdings Limited
5TR	Libra Group Limited
5TS	Jk Tech Holdings Limited
5TT	Keong Hong Holdings Limited
5TW	Chaswood Resources Hldgs Ltd.
5TY	Advanced Systems Automation
5UA	Starland Holdings Limited
5UE	Shc Capital Asia Limited
5UF	Maxi-cash Fin Svcs Corp Ltd
5UJ	Neo Group Limited
5UKW	Renewable Energy Asia W150709
5UL	Atlantic Navigation Hldg(s)ltd
5UN	Sincap Group Limited
5UO	Sysma Holdings Limited
5UQW	Metal Component Engg W170908
5UU	Jason Parquet Holdings Limited
5UV	P99 Holdings Limited
5UX	Oxley Holdings Limited
5UZ	Declout Limited
5VC	Kori Holdings Limited
5VEW	Asiatravel.com Holdingsw140717
5VFW	Asiatravel.com Holdingsw160715
5VI	Logistics Holdings Limited
5VJ	Halcyon Agri Corporation Ltd
5VNW	Albedo Limited W180329
5VOW	Viking Offshore And Ma W180425
5VP	Gds Global Limited
5VS	Hafary Holdings Limited
5VT	Eunetworks Group Limited
5VU	Elektromotive Group Limited
5VVW	Ntegrator Intl Ltd W160603
5VWW	Elektromotive Group W150710
5VZW	Asia-pacific Strategic W180716
5WA	Intl Healthway Corp Limited
5WB	Intl Healthway Corp Limited 1
5WD	Ps Group Holdings Ltd.
5WE	Moya Holdings Asia Limited
5WF	Isoteam Ltd.
5WG	Singapore Kitchen Equipmentltd
5WH	Rex International Holding Ltd
5WIR	We Holdings Ltd R
5WJ	Moneymax Financial Servicesltd
5WKW	We Holdings Ltd W150827
5WLR	Tung Lok Restaurants 2000 Ltdr
5WNR	Asiatic Group (holdings) Ltd R
600	Hyflux Ltd
6SUS	Ny05100n 200901
7PMS	Ny07100x 220901
7QQS	Nz07100s 270301
A01	China Auto Corporation Ltd.
A02	Achieva Limited
A03	Asia Power Corp Ltd
A04	Asl Marine Holdings Ltd
A05	Avjennings Limited
A0G	China Energy Limited
A0P	Macarthurcook Prop Sec Fund
A0W	Lyxor Commodities Crb Fund 10
A10	Aem Holdings Ltd
A13	Allied Technologies Limited
A14	Armstrong Industrial Corp Ltd
A15	Aussino Group Ltd
A17U	Ascendas Real Estate Inv Trust
A18	Aei Corporation Ltd
A23	Auric Pacific Group Limited
A26	Sinarmas Land Limited
A27	Mdr Limited
A30	Aspial Corporation Limited
A31	Addvalue Technologies Ltd
A33	Blumont Group Ltd.
A34	Amara Holdings Ltd
A35	Abf Spore Bond Index Fund Etf
A50	Rowsley Ltd.
A52	Annaik Limited
A53	A-sonic Aerospace Limited
A54	Adv Integrated Mfg Corp Ltd
A55	Asia Enterprises Holding Ltd
A59	Action Asia Limited
A68U	Ascott Residence Trust
A69	Azeus Systems Holdings Ltd.
A6F	Unionmet (singapore) Limited
A75	Ace Achieve Infocom Limited
A78	Liongold Corp Ltd
A7RU	Cityspring Infrastruct Trust
A7S	Sunvic Chemical Holdings Ltd
A9A	Lyxor Msci Taiwan Index Fund10
A9B	Lyxor Hang Seng Index Fund 10
AD7	China Bearing (singapore) Ltd.
AD8	Sino Techfibre Limited
AI1	Texchem-pack Holdings (s) Ltd.
AJ2	Ouhua Energy Holdings Limited
AK3	Swiber Holdings Limited
AM3	Gems Tv Holdings Limited
AO9	Lyxor Korea 10
AP4	Riverstone Holdings Limited
AU8U	Capitaretail China Trust
AV5	Chemoil Energy Limited
AW9U	First Real Estate Inv Trust
B03	Brc Asia Limited
B07	Next-gen Satellite Comm Ltd
B08	British & Malayan Trustees Ltd
B0I	Foreland Fabrictech Hlds Ltd
B0Z	China Fishery Group Limited
B10	Boardroom Limited
B16	Guocoleisure Limited
B1N	Delong Holdings Limited
B1ZU	Rickmers Maritime
B20	Biosensors Int'l Group Ltd.
B22	Hankore Environment Tec Grpltd
B26	Ban Leong Technologies Limited
B28	Bonvests Holdings Ltd
B2F	M1 Limited
B2W	Total Access Comm Pub Co Ltd
B2X	China Yuanbang Prop Hldgs Ltd
B32	Bh Global Marine Limited
B3C	China Print Power Group Ltd
B49	World Precision Machinery Ltd
B58	Banyan Tree Holdings Limited
B61	Bukit Sembawang Estates Ltd
B64	Berger International Limited
B66	Pt Berlian Laju Tanker Tbk
B69	Broadway Industrial Group Ltd
B73	Global Investments Limited
B7K	Sin Ghee Huat Corporation Ltd.
B9R	China Xlx Fertiliser Ltd.
B9S	Cosmosteel Holdings Limited
BN2	Valuetronics Holdings Limited
BN4	Keppel Corporation Limited
BR9	China Hongxing Sports Limited
BS6	Yangzijiang Shipbldg Hldgs Ltd
C02	Compact Metal Industries Ltd
C03	China Merchants Prop Devtcoltd
C04	Casa Holdings Limited
C05	Chemical Industries (f.e.) Ltd
C06	Csc Holdings Ltd
C07	Jardine Cycle & Carriage Ltd
C09	City Developments Limited
C0Z	China Hongcheng Holdings Ltd
C10	Chosen Holdings Limited
C11	Cei Contract Manufacturing Ltd
C13	Ch Offshore Ltd
C14	Cwt Limited
C22	China Merchants Hldgs(pacific)
c29	Chip Eng Seng Corporation Ltd
C2J	Sunmart Holdings Limited
C2PU	Parkwaylife Reit
C31	Capitaland Limited
C33	Chuan Hup Holdings Limited
C37	China International Hldgs Ltd
C38U	Capitamall Trust
C3T	Uni-asia Finance Corporation
C41	Cortina Holdings Limited
C4P	Liang Huat Aluminium Ltd
C50	Cheung Woh Technologies Ltd
C52	Comfortdelgro Corporation Ltd
C56	Celestial Nutrifoods Limited
C59	China Flexible Pack Hldg Ltd
C60	Amplefield Limited
C61U	Capitacommercial Trust
C68	Mirach Energy Limited
C6L	Singapore Airlines Ltd
C6U	Singapore Airlines Ltd 200
C70	City Developments Ltd Nccps
C71	China Paper Holdings Limited
C76	Creative Technology Ltd
C86	China Sun Biochem Tech Gp Co.
C8R	Jiutian Chemical Group Limited
C92	China Haida Ltd.
C9Q	Sinostar Pec Holdings Limited
CC3	Starhub Ltd
CH8	China Sunsine Chem Hldgs Ltd.
CL7	R H Energy Ltd.
CT1	Avi-tech Electronics Limited
CW4	Lyxor Japan (topix) Fund 10
CX5	Yong Xin Intl Holdings Ltd.
CY6U	Ascendas India Trust
CZ3	Reyphon Agriceutical Limited
CZ4	Dutech Holdings Limited
D01	Dairy Farm Int'l Holdings Ltd
D03	Del Monte Pacific Limited
D04	Datapulse Technology Limited
D05	Dbs Group Holdings Ltd
D07	Spdr Djia Etf Trust
D08	Devotion Energy Group Limited
D11	Design Studio Furniture Mfrltd
D1R	Ara Asset Management Limited
D2U	Cacola Furniture Intl Limited
D2V	Changtian Plastic & Chem Ltd
D38	Cdw Holding Limited
D3W	Sinotel Technologies Ltd.
D4N	China New Town Devt Co Limited
D50	China Great Land Holdings Ltd.
D5IU	Lippo Malls Indo Retail Trust
D5N	Z-obee Holdings Limited
D6U	Dynamic Colours Limited
D79	C&g Env Protect Hldgs Ltd
D8DU	First Ship Lease Trust
DC9	Fuxing China Group Limited
DK2	Fibrechem Technologies Ncps
DM0	Psc Corporation Ltd
DT2	China Oilfield Tec Svcs Grpltd
DU4	Mermaid Maritime Public Co Ltd
DZ8U	Saizen Real Estate Inv Trust
E02	Eu Yan Sang International Ltd
E13	Ellipsiz Ltd
E15	Transcu Group Limited
E16	Elec & Eltek Int Co Ltd
E17	Excelpoint Technology Ltd
E18	Ecs Holdings Limited
E23	Europtronic Group Ltd
E25	8telecom Intl Holdings Co Ltd
E27	Eucon Holding Limited
E28	Frencken Group Limited
E3B	Wee Hur Holdings Ltd.
E5H	Golden Agri-resources Ltd
E5P	The Hour Glass Limited
E6A	Yongmao Holdings Limited
E6E	Sound Global Ltd.
E6R	Samko Timber Limited
E8Z	Roxy-pacific Holdings Limited
E90	China Sky Chem Fibre Co. Ltd.
E91	Courage Marine Group Limited
E94	Lizhong Wheel Group Ltd.
E9A	Li Heng Chem Fibre Tech Ltd
E9L	Joyas International Hldgs Ltd
EB5	First Resources Limited
EB7	Ktl Global Limited
EE6	Mercator Lines (singapore) Ltd
EG0	Jes International Holdings Ltd
EH5	United Overseas Australia Ltd
EP4	China Animal Healthcare Ltd.
ER0	Ksh Holdings Limited
ES3	Sti Etf
F01	Freight Links Express Holdings
F03	Food Empire Holdings Limited
F06	Sunmoon Food Company Limited
F07	Fds Networks Group Ltd
F10	F J Benjamin Holdings Ltd
F11	Fung Choi Media Group Limited
F12	Fibrechem Technologies Limited
F13	Fu Yu Corporation Ltd
F17	Guocoland Limited
F18	Full Apex (holdings) Limited
F1E	Low Keng Huat (singapore) Ltd
F20	Federal Int(2000) Ltd
F22	Fischer Tech Ltd
F25U	Fortune Real Estate Inv Trust
F2X	China Taisan Tech Grp Hldgsltd
F31	Fragrance Group Limited
F34	Wilmar International Limited
F3EU	Indiabulls Properties Invtrust
F3V	Sino Construction Limited
F6D	China Fibretech Ltd.
F83	Cosco Corporation (s) Ltd
F86	Cougar Logistics Corpn Ltd
F99	Fraser And Neave Limited
F9D	Boustead Singapore Limited
F9M	Kencana Agri Limited
FO8	Eratat Lifestyle Limited
FP1	Dapai Intl Hldg Co. Ltd.
FQ7	Jasper Investments Limited
FQ8	China Sports Intl Limited
FV2	Hisaka Holdings Ltd.
G05	Goodpack Limited
G07	Great Eastern Hldgs Ltd
G08	Gp Batteries Int Ltd
G0I	Nam Lee Pressed Metal Inds Ltd
G10	Yuexiu Property Co Limited
G11	Global Tech (hldgs) Limited
G13	Genting Singapore Plc
G18	Grp Ltd
G1K	Lyxor Etf Msci Asia Apex 50 10
G1M	Lyxor Etf Msci Malaysia 10
G1N	Lyxor Etf Msci India 10
G1O	Lyxor Commodities Crbnonenergy
G20	Gp Industries Limited
G21	Guangzhao Ind Forest Biogrpltd
G31	Global Testing Corporation Ltd
G33	Guthrie Gts Ltd
G3B	Dbs Singapore Sti Etf
G41	G. K. Goh Holdings Limited
G4F	Otto Marine Limited
G50	Grand Banks Yachts Limited
G54	China Essence Group Ltd.
G5X	Anwell Technologies Limited
G77	Digiland International Ltd
G86	China Milk Products Group Ltd
G92	China Aviation Oil(s) Corp Ltd
GG0	Ocbccapcorp(2008) 5.1%ncps 100
GG7	Hai Leck Holdings Limited
GH3	Asia Fashion Holdings Limited
GJ8	Dukang Distillers Hldgs Ltd
GL8	Uob 5.05%ncps 100
GR2W	Second Chance Prop W130927
GU5	China Kunda Tech Holdings Ltd
GZ9	Stx Pan Ocean Co. Ltd.
H02	Haw Par Corp Ltd
H06	Hor Kew Corporation Limited
H07	Stamford Land Corporation Ltd
H12	Hotel Royal Ltd
H13	Ho Bee Investment Limited
H15	Hotel Properties Ltd
H16	Huan Hsin Holdings Ltd
H17	Hi-p International Limited
H18	Hotel Grand Central Ltd
H19	Hwa Hong Corporation Limited
H1M	Lyxor Etf Eastern Europe 10
H1N	Lyxor Etf Msci Emerging Mkt 10
H1O	Lyxoretf Msci Em Latin America
H1P	Lyxor Etf Msci World 10
H1Q	Lyxor Etf Nasdaq100 10
H20	Hoe Leong Corporation Ltd.
H22	Hong Leong Asia Ltd.
H27	Hlh Group Limited
H30	Hong Fok Corporation Ltd
H49	Pan Pacific Hotels Grp Limited
H64	Htl Int'l Holdings Limited
H73	Hupsteel Ltd
H78	Hongkong Land Holdings Limited
H7YB	Wbl Corporation 2.5%cb140610
H80	Hongwei Technologies Limited
HD6	Dbxt S&p 500 Short Etf 10
HD7	Dbxt Msci Taiwan Etf 10
HD8	Dbxt Ft China 25 Etf 10
HD9	Dbxt Ftse Vietnam Etf 10
HE0	Dbxt S&p Cnx Nifty Etf 10
HI3B	United Engineers 1% Cb140303
i03	Informatics Education Ltd.
i04	Xpress Holdings Ltd
i06	Intraco Limited
i07	Isdn Holdings Limited
i11	Ipco Int'l Limited
I12	Ipc Corporation Limited
i15	Isetan (singapore) Ltd
I17	Ishares S&p500 Ivv 10
I19	Ishares Msci Singapore Ews 100
I21	Ishares Dj Us Tech Iyw 10
i26	Inno-pacific Holdings Ltd
i49	Ifs Capital Limited
I4FW	Global Yellow Pages W140910
I4U	China Gaoxian Fibrefab Hldgltd
I54	Fabchem China Limited
I5H	Great Group Holdings Limited
I85	Hengxin Technology Ltd.
I98	Is Msci India 100
I9T	Ziwo Holdings Ltd.
IH0	Dbxt Euro Stoxx 50 Etf 10
IH1	Dbxt Msci Asia Ex Japan Etf 10
IH2	Dbxt Msci Korea Etf 10
IH3	Dbxt Msci Europe Etf 10
IH4	Dbxt Usd Money Market Etf 5
IW5	Seroja Investments Limited
IX2	Pec Ltd.
J03	Jadason Enterprises Ltd
J0M	Dbxt Msci Emerging Mkts Etf 10
J0N	Dbxt Msci Emg Mkts Asia Etf 10
J0O	Dbxt Msci Brazil Trn Etf 10
J0P	Dbxt Msci World Trn Etf 10
J0Q	Dbxt Msci Pacific Exjap Etf 10
J0R	Dbxt Msci Russia Cap 25 Etf 10
J0S	Dbxt Dblci-oy Balanced Etf 5
J10	Jaya Holdings Ltd
J11	Jacks International Limited
J16	Jel Corporation (holdings) Ltd
J17	Jackspeed Corporation Limited
J18	China Jishan Holdings Limited
J19	Jets Technics Intl Hldgs Ltd
J2T	Hock Lian Seng Holdings Ltd
J36	Jardine Matheson Hldgs Ltd
J37	Jardine Strategic Hldgs Ltd
J69U	Frasers Centrepoint Trust
J74	Pteris Global Limited
J7X	Tiger Airways Holdings Limited
J85	Cdl Hospitality Trusts
J8O	Ryobi Kiso Holdings Ltd.
J91U	Cambridge Industrial Trust
JA9	Changjiang Fertilizer Hlgs Ltd
JC5	Lyxor Etf Msci Europe 10
JC6	Lyxor Etf Dow Jones Ia 10
JC7	Lyxor Etf Russia 10
JK8	United Sse 50 China Etf
JS5	Sino Grandness Food Ind Gp Ltd
JS8	Capitamalls Asia Limited
k01	K1 Ventures Limited
K03	Khong Guan Flour Milling Ltd
K07	Kxd Digital Entertainment Ltd
K11	Keppel Tele & Tran
K14	Kingboard Copper Foil Hdgs Ltd
K17	Keppel Land Limited
K1Q	Ttj Holdings Limited
K22	Kian Ho Bearings Ltd
K29	Karin Technology Hldgs Limited
K2LU	Cache Logistics Trust
K2M	Debao Property Development Ltd
K2N	China Minzhong Food Corp Ltd
K2P	Tiong Seng Holdings Limited
K3CD	China Eastern Air Adr 10
K3DD	Sinopec Petrochemical Adr 10
K3ED	China Telecom Adr 10
K3FD	Huaneng Power Intl Adr 10
K3GD	Yanzhou Coal Mining Adr 10
K3HD	Aluminum Corp Of China Adr 10
K3ID	China Unicom Hk Ltd Adr 10
K3JD	Changyou.com Adr 10
K3KD	Trina Solar Adr 10
K3MD	Netease.com Adr 10
K3ND	Suntech Power Adr 10
K3OD	Petrochina Adr 10
K3PD	Chinamobile Adr 10
K3QD	Mindray Medical Intl Adr 10
K3RD	Ctrip.com International Adr 10
K3SD	Baidu.com Adr 10
K3TD	China Southern Air Adr 10
K3UD	Home Inns & Hotels Adr 10
K6J	Global Palm Resources Hlgs Ltd
K6K	Dbxt S&p500 Etf 10
K6S	Prudential Plc
K6Y	Dbxt Aud Ssa Bonds Etf 5
K71U	K-reit Asia
K75	Koh Brothers Group Limited
KF4	Sin Heng Heavy Machinery Ltd
KF5	Dbxt Usd Ig Infl Treas Etf 5
KF6	Dbxt Iboxx Sov Euro Etf 5
KF7	Dbxt Iboxx Us Treas Etf 5
KF8	Dbxt Msci Usa Etf 10
KI3	Hu An Cable Holdings Ltd.
KJ5	Bbr Holdings (s) Ltd
KJ6	Dbxt Sora Etf 5
KJ7	Dbxt Msci Indonesia Etf 10
KJ9	Cogent Holdings Limited
KT2	Dbxt Iboxx Korea Etf 5
KT3	Dbxt Stoxx Glob Div 100 Etf 10
KT4	Dbxt Csi300 Etf 10
KT8U	Frasers Commercial Trust Cppu
KT9	Qingmei Group Holdings Limited
KU3	Golden Ocean Group Limited
KV4	Dbxt Iboxx Singapore Etf 5
KV5	Dbxt Aud Money Market Etf 5
KV6	Dbxt Aud Mm Etf Usd 5
KV7	Dbxt Aud Mm Etf Sgd 5
KV8	Dbxt Eonia Tr Etf Usd 5
L02	Manhattan Resources Limited
