Symbol	Description
AAA	Allana Potash Corp
AAB	Aberdeen International Inc.
AAH	Aastra Technologis
AAR.UN	Pure Industrial Real Estate Trust
AAV	Advantage Oil & Gas Ltd.
AAV.DB.H	Advantage Oil And Gas 5.0 Pct Conv Debs
ABC	Asia Biochem Group Corp
ABK.A	Allbanc Split Corp Class A Capital Shs
ABK.PR.C	Allbanc Split Corp Pref C
ABT	Absolute Software Corp.
ABX	Barrick Gold Corporation
AC.A	Air Canada Cl.A
AC.B	Air Canada Cl.B
ACC	Amica Mature
ACD	Accord Financial
ACO.X	Atco Ltd. Cl.I Nv
ACO.Y	Atco Ltd Cl II
ACQ	Autocanada Inc
ACR.UN	Agellan Commercial REIT
AD	Alaris Royalty Corp.
ADC.UN	Canadian Advantaged Convertibles Fund
ADN	Acadian Timber Corp
ADV	Alderon Iron Ore Corp
ADW.A	Andrew Peller Limited Cl.A
ADW.B	Andrew Peller Ltd Com Npv Class
AEF	Aurora Oil And Gas Ltd
AEI	Arsenal Energy Inc.
AEM	Agnico-Eagle Mines Ltd.
AEM.WT.U	Agnico-Eagle Mines Limited Warrants
AEN	Antrim Energy J
AET.DB	Argent Energy Trust 6.00 Pct De
AET.UN	Arc Energy Trust
AEU.UN	Activenergy Income Fund
AEZ	Aeterna Zentaris Inc.
AF	Alarmforce J
AFN	Ag Growth International Inc.
AFN.DB	Ag Growth Intl Inc. 7.0 Conv Debs
AFT.UN	Diversified Alpha Fund II
AGF.B	Agf Management Ltd. Cl.B Nv
AGI	Alamos Gold Inc.
AGT	Alliance Grain Traders Inc
AGU	Agrium Inc
AHF	Aston Hill Financial Inc
AHF.DB	Aston Hill Financial Inc 6 Pct Debs
AHF.R	Aston Hill Financial Inc Sub Re
AHX	Adherex Technologi Com Npv
AHX.WT	Adherex Technologies Inc Wts
AHY.UN	Advantaged Cdn High Yield Bond Fund
AI	Atrium Mortgage Investment Corp
AI.DB	Atrium Mortgage Inv Corp 5.25 P
AIF	Altus Group Limited
AIF.DB	Altus Group Ltd 5.75 Pct Debs
AIF.DB.A	Altus Group Ltd 6.75 Pct Debs
AIM	Groupe Aeroplan Inc
AIM.PR.A	Groupe Aeroplan Inc Pref Series 1
AJX	Agjunction Inc.
AKG	Asanko Gold Inc.
AKT.A	Akita Drilling Ltd. Cl.A Nv
AKT.B	Akita Cl B
ALA	Altagas Ltd.
ALA.PR.A	Altagas Ltd. Pref A
ALA.PR.U	Altagas Ltd Pref Series C
ALB	Allbanc Split Banc Corp II
ALB.PR.B	Allbanc Split Corp II Pref Ser 1
ALC	Algoma Central
ALC.DB	Algoma Central Corp 6 Pct Dbs
ALS	Altius Minerals Corporation
AM	Automodular Corporation
AMB	Americas Bullion Royalty Corpor
AMF	Amorfix Life Science Ltd.
AMM	Almaden Minerals Ltd.
AMZ	Amara Mining Plc
ANS	Ainsworth Lumber Co.
ANV	Allied Nevada Gold Corp.
ANX	Anaconda Mining Inc.
AOG.UN	Aston Hill Adv Oil And Gas Income Fund
AP.UN	Allied Properties Real Estate Inv Trust
APY	Anglo Pacific Group Plc
AQA	Aquila Resources Inc.
AQN	Algonquin Power And Utilities Corp.
AQN.PR.A	Algonquin Power And Utilities Pref A
AR	Argonaut Gold Inc.
ARE	Aecon Group Inc
ARE.DB	Aecon Group Inc 7.0 Debs
ARE.DB.A	Aecon Group Inc 6.25 Pct Debs
ARF	Armtec Infrastructure Inc.
ARF.DB	Armtec Infrastructure Inc. 6.50 Debs
ARG	Amerigo Resources Ltd.
ARL	Africo Resources Ltd
ARX	Arc Resources Ltd.
ASD	Horizons Australian Dollar Currency ETF
ASR	Alacer Gold Corp
ATA	Ats Automation
ATB	Atrium Innovations Inc.
ATB.DB	Atrium Innovations 5.75 Pct Debs
ATD.A	Alimentation Couche-Tard Inc
ATD.B	Alimentation Couche-Tard Inc. Cl B Sv
ATH	Athabasca Oil Corp
ATN	Atna Res J
ATP	Atlantic Power Corp.
ATP.DB	Atlantic Power Corp. 6.50 Debs
ATP.DB.A	Atlantic Power Corp. 6.25 Conv Debs
ATP.DB.B	Atlantic Power Corp 5.60 Conv Dbs
ATP.DB.D	Atlantic Power Corp 6.00 Pct Ser D Debs
ATP.DB.U	Atlantic Power Corp 5.75 Pct Debs
AUE	Aureus Mining Inc
AUF.UN	Artemis US Capital Appreciation
AUI.UN	Australian Banc Income Fd
AUM	Golden Minerals Company
AUM.WT	Golden Minerals Company Wts
AUQ	Aurico Gold Inc
AUZ.UN	Australian Banc Capital Sec Trust
AV.UN	Aston Hill Adv Vip Income Fund
AVK	Avnel Gold Mining Ltd.
AVL	Avalon Rare Metals Inc.
AVO	Avigilon Corporation
AVP	Avcorp Industries Inc
AW.UN	A&W Revenue Royalties Income Fund
AX.DB.F	Artis REIT 6.00 Conv Debs
AX.DB.U	Artis REIT 5.75 Pct Debentuires
AX.PR.A	Artis REIT Pref Series A
AX.PR.E	Artis REIT Pref Ser E
AX.PR.G	Artis REIT Pref Series G
AX.PR.U	Artis REIT Pref Series C USD
AX.UN	Artis Real Estate Investment Trust Units
AXF	First Asset Dex All Cda Bond In
AXL	Anderson Energy Ltd.
AXL.DB	Anderson Energy Ltd. 7.50 Pct Debs
AXL.DB.B	Anderson Energy Ltd 7.25 Pct Debs
AXR	Alexco Resource Corp.
AXX	Axia Netmedia J
AXY	Alterra Power Corp
AZ	Armistice Resources Corp.
AZC	Augusta Resource Corporation
AZP.PR.A	Atlantic Power Pref Equity Ser 1
AZP.PR.B	Atlantic Power Pref Equity Ser 2
AZR	Azumah Resources Limited
BA	Bell Aliant Inc
BAA	Banro Corp.
BAB.UN	Build America Investment Grade Bond Fund
BAD	Badger Daylighting Ltd.
BAF.PR.A	Bell Aliant Preferred Equity Inc
BAF.PR.C	Bell Aliant Preferred Equity Inc.
BAF.PR.E	Bell Aliant Preferred Equity Inc Ser E
BAJ	Baja Mining Corp.
BAM.A	Brookfield Asset Management Inc. Cl.A Lv
BAM.PF.A	Brookfield Asset Mgmt Inc Pref Ser 32
BAM.PF.B	Brookfield Asset Mgmt Inc Pref Ser 34
BAM.PF.C	Brookfield Asset Mgmt Inc Pref Ser 36
BAM.PF.D	Brookfield Asset Mgmt Inc Pr Ser 37
BAM.PR.B	Brookfield Asset Mgmt Inc.Pr. Ser 2
BAM.PR.C	Brookfield Asset Mgmt Inc. Pr. Ser 4
BAM.PR.E	Brookfield Asset Mgmt Inc. Pr. Ser 8
BAM.PR.G	Brookfield Asset Mgmt Inc. Pr Ser 9
BAM.PR.J	Brookfield Asset Mgmt Inc. Pr. Ser 12
BAM.PR.K	Brookfield Asset Mgmt Inc. Pr. Ser 13
BAM.PR.M	Brookfield Asset Mgmt Incprf A Ser 17
BAM.PR.N	Brookfield Asset Mgmt Pref Shs Ser 18
BAM.PR.P	Brookfield Asset Mgmt Inc. Pr. Ser 22
BAM.PR.R	Brookfield Asset Mgmt Pref Ser 24
BAM.PR.T	Brookfield Asset Mgmt Pref Ser 26
BAM.PR.X	Brookfield Am Pref Ser 28
BAM.PR.Z	Brookfield Asset Mgmt Inc Pr Ser 30
BAN	Bannerman Resources Limited
BAR	Balmoral Resources Ltd
BAU	Bauer Performance Sports Ltd
BB	Blackberry Limited
BBD.A	Bombardier Inc. Cl. A Mv
BBD.B	Bombardier Inc. Cl. B Sv
BBD.PR.B	Bombardier 2 Pr
BBD.PR.C	Bombardier Inc. Preferred Class C
BBD.PR.D	Bombardier Inc. Preferred[Series 3 ]
BBL.A	Brampton Brick Ltd. Cl.A Sv
BBO	Big Bank Big Oil Split Corp.
