Symbol	Description
AAC	Actus Minerals Corp.
AAL	Auracle Resources Ltd
AAN	Alexander Nubia International Inc.
AAO	Augusta Industries Inc
AAP.P	Alpha Peak Leisure Inc
AAT	Ati Airtest Technologies Inc
AAU	Andeangold Ltd.
AAX	Advance Gold Corp
AAZ	Azincourt Resources Inc
ABE	Abitex Resources Inc.
ABG	Amg Bioenergy Resources Holdings Ltd
ABI	Abcourt Mines Inc.
ABL	Abington Resources Ltd.
ABM	Athabasca Minerals Inc.
ABN	Aben Resources Ltd.
ABR	Ashburton Ventures Inc.
ABS	Abzu Gold Ltd.
ABU	Abenteuer Resources Corp
ABV	Algae Biosciences Corporation
ABZ	Asiabasemetals Inc
ACE.H	Ace Aviation Holdings Inc
ACK	Active Growth Capital Inc
ACL	Anthony Clark Intl. Ins Brokers Ltd.
ACN	Asher Resources Corporation
ACP	Ansell Capital Corp.
ACS	Archon Minerals Limited
ACT	Active Control Technology Inc
ACU	Act Aurora Control Technologies Corp
ACY.H	Acme Resources Corp
ADA	Acadian Mining Corporation
ADD	Arctic Star Exploration Corp
ADE	Adex Mining Inc.
ADG	Arcus Development Group Inc
ADI	Adriana Resources Inc.
ADK	Diagnos Inc.
ADL	Adira Energy Ltd
ADR.H	Arcland Resources Inc.
ADT	Adroit Resources Inc.
ADZ	Adamera Minerals Corp
AE.A	Anterra Energy Inc. Cl A
AEC	Artisan Energy Corporation
AEL	Amseco Exploration Ltd.
AER	Alternative Earth Resources In
AFA	Afri-Can Marine Minerals Corporation
AFF	Afferro Mining Inc
AFM	Alphamin Resources Corp.
AFR	African Metals Corporation
AFS.H	Afrasia Mineral Fields Inc.
AGA	Argonaut Exploration Inc.
AGC	Amarillo Gold Corp.
AGD	Antioquia Gold Inc
AGE	Adventure Gold Inc.
AGG	African Gold Group Inc.
AGH	Canadian Silver Hunter Inc
AGL	Aguila American Gold Ltd.
AGM	Aldridge Minerals Inc.
AGO	Aurcrest Gold Inc
AGP	August Metal Corporation
AGQ	Arian Silver Corp.
AGX	Amador Gold Corp.
AHR	Amarc Resources Ltd.
AHS	Alta Natural Herbs And Supplements Ltd.
AHU	Arctic Hunter Uranium Inc
AIA	Auriga Gold Corp
AIC	Acadia Resources Corp
AII	Almonty Industries Inc
AIQ.H	Atlantis Systems Corp
AIX	Alix Resources Corp.
AJC	American Consolidated Minerals Corp.
AKH	Alaska Hydro Corporation
AKM	Act360 Solutions Ltd.
AKR	Ackroo Inc
AKV	Acrex Ventures Ltd
AL	Alita Resources Ltd
ALH	Alhambra Resources Ltd
ALI	Altitude Resources Inc
ALM	Alliance Mining Corp
ALN	Aldrin Resource Corp.
ALO	Alston Ventures Inc
ALQ	Alpha Gold Corporation
ALR	Alder Resources Ltd.
ALT	Alturas Minerals Corp
ALW	All In West!Capital Corporation
ALX	Alexander Energy Ltd
ALY	Analytixinsight Inc
ALZ	Aldershot Resources Ltd.
AME	Abacus Mining & Exploration Corporation
AMG	Am Gold Inc.
AMH	Amanta Res Ltd.
AMK	American Creek Resources Ltd.
AML	Argus Metals Corp.
AMO	Altan Rio Minerals Limited
AMR	Amarok Energy Inc
AMS	Alchemist Mining Inc
AMT	Amato Exploration Ltd
AMU	Ami Resources Inc
AMW	Alpha Minerals Inc
AMX	AMEX Exploration Inc
AMY	American Manganese Inc.
AN	Antofagasta Gold Inc
ANA	Angus Mining Namibia Inc
ANE	Altan Nevada Minerals Limited
ANF	Anfield Nickel Corp.
ANG	Angel Gold Corp
ANI	Animas Resources Ltd.
